기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20190101~20191231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,전국,-2.1,-5.8,2.1
2019-01-02,전국,-2.5,-7,3.2
2019-01-03,전국,-2.1,-7.7,5
2019-01-04,전국,-0.7,-7.3,5.3
2019-01-05,전국,0.2,-4.6,5.3
2019-01-06,전국,-1.3,-6.1,5.7
2019-01-07,전국,-0.5,-6.3,5.5
2019-01-08,전국,-0.7,-4.8,4.2
2019-01-09,전국,-2.9,-8,2.9
2019-01-10,전국,0.5,-3.4,5.1
2019-01-11,전국,2.1,-3.4,8.1
2019-01-12,전국,3,-0.3,7.5
2019-01-13,전국,1.3,-3.2,8.2
2019-01-14,전국,1,-4.1,7.5
2019-01-15,전국,0.9,-3.9,6.1
2019-01-16,전국,-3.2,-7.9,1.7
2019-01-17,전국,0.4,-4,5.4
2019-01-18,전국,0.8,-5.1,8.1
2019-01-19,전국,2.9,-2.7,9.3
2019-01-20,전국,1.6,-2.8,5.5
2019-01-21,전국,0.5,-5.5,6.2
2019-01-22,전국,2.6,-3.2,9
2019-01-23,전국,3.1,-2.2,9.6
2019-01-24,전국,0.7,-5.2,8.2
2019-01-25,전국,-0.4,-5.1,5.5
2019-01-26,전국,-1.8,-6.2,3.7
2019-01-27,전국,-0.2,-7.8,7.1
2019-01-28,전국,2.6,-2.6,7.2
2019-01-29,전국,0,-6.5,8.1
2019-01-30,전국,3.5,-3.1,10.1
2019-01-31,전국,0.3,-3.8,4.7
2019-02-01,전국,-1.3,-6.7,4.1
2019-02-02,전국,2.1,-4.8,8.5
2019-02-03,전국,5.6,2.6,9.8
2019-02-04,전국,2.5,-1.5,6.8
2019-02-05,전국,2.9,-4.1,11
2019-02-06,전국,5.6,-1.2,12.9
2019-02-07,전국,2.1,-3.9,7.4
2019-02-08,전국,-2,-5.9,3.2
2019-02-09,전국,-1.7,-4.2,1.7
2019-02-10,전국,-1.4,-6.3,3.2
2019-02-11,전국,-0.8,-4.7,3.9
2019-02-12,전국,0.1,-6,6
2019-02-13,전국,0.3,-4.1,5.3
2019-02-14,전국,0.6,-3.7,6.5
2019-02-15,전국,2,-1.5,6
2019-02-16,전국,-0.3,-3.5,3.3
2019-02-17,전국,-0.2,-5.7,6.3
2019-02-18,전국,2.2,-4.4,7.5
