네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품 > 아이스크림/빙수
조회기간 : 2019.01.01. ~ 2019.12.31. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이스크림/빙수"
"2019-01-01",27
"2019-01-02",27
"2019-01-03",25
"2019-01-04",25
"2019-01-05",26
"2019-01-06",30
"2019-01-07",29
"2019-01-08",28
"2019-01-09",27
"2019-01-10",27
"2019-01-11",27
"2019-01-12",25
"2019-01-13",30
"2019-01-14",31
"2019-01-15",34
"2019-01-16",33
"2019-01-17",29
"2019-01-18",26
"2019-01-19",26
"2019-01-20",32
"2019-01-21",33
"2019-01-22",31
"2019-01-23",32
"2019-01-24",28
"2019-01-25",25
"2019-01-26",24
"2019-01-27",29
"2019-01-28",30
"2019-01-29",27
"2019-01-30",24
"2019-01-31",21
"2019-02-01",20
"2019-02-02",21
"2019-02-03",21
"2019-02-04",22
"2019-02-05",22
"2019-02-06",28
"2019-02-07",33
"2019-02-08",32
"2019-02-09",31
"2019-02-10",34
"2019-02-11",34
"2019-02-12",30
"2019-02-13",27
"2019-02-14",26
"2019-02-15",23
"2019-02-16",26
"2019-02-17",31
"2019-02-18",32
"2019-02-19",31
"2019-02-20",28
"2019-02-21",28
"2019-02-22",29
"2019-02-23",30
"2019-02-24",32
"2019-02-25",32
"2019-02-26",29
"2019-02-27",28
"2019-02-28",28
"2019-03-01",27
"2019-03-02",28
"2019-03-03",31
"2019-03-04",28
"2019-03-05",27
"2019-03-06",31
"2019-03-07",25
"2019-03-08",24
"2019-03-09",28
"2019-03-10",33
"2019-03-11",30
"2019-03-12",28
"2019-03-13",29
"2019-03-14",28
"2019-03-15",23
"2019-03-16",24
"2019-03-17",27
"2019-03-18",28
"2019-03-19",28
"2019-03-20",31
"2019-03-21",28
"2019-03-22",25
"2019-03-23",26
"2019-03-24",32
"2019-03-25",34
"2019-03-26",35
"2019-03-27",31
"2019-03-28",31
"2019-03-29",24
"2019-03-30",26
"2019-03-31",32
"2019-04-01",31
"2019-04-02",32
"2019-04-03",32
"2019-04-04",32
"2019-04-05",27
